station,line,destination,day_type,csv,last_update,error_code,url
武蔵新城,南武線,川崎方面 ,平日,nambu_54.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1530/1530020p.html
武蔵新城,南武線,川崎方面 ,土・休日,nambu_55.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1530/1530021p.html
武蔵溝ノ口,南武線,登戸・立川方面 ,平日,nambu_56.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1535/1535010p.html
武蔵溝ノ口,南武線,登戸・立川方面 ,土・休日,nambu_57.csv,2021-12-19,8,https://www.jreast-timetable.jp/2112/timetable/tt1535/1535011p.html
武蔵溝ノ口,南武線,川崎方面 ,平日,nambu_58.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1535/1535020p.html
武蔵溝ノ口,南武線,川崎方面 ,土・休日,nambu_59.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1535/1535021p.html
津田山,南武線,登戸・立川方面 ,平日,nambu_60.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1010/1010010p.html
津田山,南武線,登戸・立川方面 ,土・休日,nambu_61.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1010/1010011p.html
津田山,南武線,川崎方面 ,平日,nambu_62.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1010/1010020p.html
津田山,南武線,川崎方面 ,土・休日,nambu_63.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1010/1010021p.html
久地,南武線,登戸・立川方面 ,平日,nambu_64.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0615/0615010p.html
久地,南武線,登戸・立川方面 ,土・休日,nambu_65.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0615/0615011p.html
久地,南武線,川崎方面 ,平日,nambu_66.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0615/0615020p.html
久地,南武線,川崎方面 ,土・休日,nambu_67.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0615/0615021p.html
宿河原,南武線,登戸・立川方面 ,平日,nambu_68.csv,2021-12-19,8,https://www.jreast-timetable.jp/2112/timetable/tt0839/0839010p.html
宿河原,南武線,登戸・立川方面 ,土・休日,nambu_69.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0839/0839011p.html
宿河原,南武線,川崎方面 ,平日,nambu_70.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0839/0839020p.html
宿河原,南武線,川崎方面 ,土・休日,nambu_71.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0839/0839021p.html
登戸,南武線,立川方面 ,平日,nambu_72.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1212/1212010p.html
登戸,南武線,立川方面 ,土・休日,nambu_73.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1212/1212011p.html
登戸,南武線,川崎方面 ,平日,nambu_74.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1212/1212020p.html
登戸,南武線,川崎方面 ,土・休日,nambu_75.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1212/1212021p.html
中野島,南武線,立川方面 ,平日,nambu_76.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1107/1107010p.html
中野島,南武線,立川方面 ,土・休日,nambu_77.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1107/1107011p.html
中野島,南武線,登戸・川崎方面 ,平日,nambu_78.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1107/1107020p.html
中野島,南武線,登戸・川崎方面 ,土・休日,nambu_79.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1107/1107021p.html
稲田堤,南武線,立川方面 ,平日,nambu_80.csv,2021-12-19,8,https://www.jreast-timetable.jp/2112/timetable/tt0149/0149010p.html
稲田堤,南武線,立川方面 ,土・休日,nambu_81.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0149/0149011p.html
稲田堤,南武線,登戸・川崎方面 ,平日,nambu_82.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0149/0149020p.html
稲田堤,南武線,登戸・川崎方面 ,土・休日,nambu_83.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0149/0149021p.html
矢野口,南武線,立川方面 ,平日,nambu_84.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1591/1591010p.html
矢野口,南武線,立川方面 ,土・休日,nambu_85.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1591/1591011p.html
矢野口,南武線,登戸・川崎方面 ,平日,nambu_86.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1591/1591020p.html
矢野口,南武線,登戸・川崎方面 ,土・休日,nambu_87.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1591/1591021p.html
稲城長沼,南武線,立川方面 ,平日,nambu_88.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0145/0145010p.html
稲城長沼,南武線,立川方面 ,土・休日,nambu_89.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0145/0145011p.html
稲城長沼,南武線,登戸・川崎方面 ,平日,nambu_90.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0145/0145020p.html
稲城長沼,南武線,登戸・川崎方面 ,土・休日,nambu_91.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0145/0145021p.html
南多摩,南武線,立川方面 ,平日,nambu_92.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1490/1490010p.html
南多摩,南武線,立川方面 ,土・休日,nambu_93.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1490/1490011p.html
南多摩,南武線,登戸・川崎方面 ,平日,nambu_94.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1490/1490020p.html
南多摩,南武線,登戸・川崎方面 ,土・休日,nambu_95.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1490/1490021p.html
府中本町,武蔵野線,武蔵浦和・新松戸・西船橋方面 ,平日,nambu_96.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1374/1374010p.html
府中本町,武蔵野線,武蔵浦和・新松戸・西船橋方面 ,土・休日,nambu_97.csv,2021-12-19,8,https://www.jreast-timetable.jp/2112/timetable/tt1374/1374011p.html
府中本町,南武線,立川方面 ,平日,nambu_98.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1374/1374020p.html
府中本町,南武線,立川方面 ,土・休日,nambu_99.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1374/1374021p.html
府中本町,南武線,登戸・川崎方面 ,平日,nambu_100.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1374/1374030p.html
府中本町,南武線,登戸・川崎方面 ,土・休日,nambu_101.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1374/1374031p.html
分倍河原,南武線,立川方面 ,平日,nambu_102.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1385/1385010p.html
分倍河原,南武線,立川方面 ,土・休日,nambu_103.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1385/1385011p.html
分倍河原,南武線,登戸・川崎方面 ,平日,nambu_104.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1385/1385020p.html
分倍河原,南武線,登戸・川崎方面 ,土・休日,nambu_105.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1385/1385021p.html
西府,南武線,立川方面 ,平日,nambu_106.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1724/1724010p.html
西府,南武線,立川方面 ,土・休日,nambu_107.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1724/1724011p.html
西府,南武線,登戸・川崎方面 ,平日,nambu_108.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1724/1724020p.html
西府,南武線,登戸・川崎方面 ,土・休日,nambu_109.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1724/1724021p.html
谷保,南武線,立川方面 ,平日,nambu_110.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1599/1599010p.html
谷保,南武線,立川方面 ,土・休日,nambu_111.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1599/1599011p.html
谷保,南武線,登戸・川崎方面 ,平日,nambu_112.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1599/1599020p.html
谷保,南武線,登戸・川崎方面 ,土・休日,nambu_113.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1599/1599021p.html
矢川,南武線,立川方面 ,平日,nambu_114.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1571/1571010p.html
矢川,南武線,立川方面 ,土・休日,nambu_115.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1571/1571011p.html
矢川,南武線,登戸・川崎方面 ,平日,nambu_116.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1571/1571020p.html
矢川,南武線,登戸・川崎方面 ,土・休日,nambu_117.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1571/1571021p.html
西国立,南武線,立川方面 ,平日,nambu_118.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1155/1155010p.html
西国立,南武線,立川方面 ,土・休日,nambu_119.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1155/1155011p.html
西国立,南武線,登戸・川崎方面 ,平日,nambu_120.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1155/1155020p.html
西国立,南武線,登戸・川崎方面 ,土・休日,nambu_121.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1155/1155021p.html
立川,中央本線・中央線快速,八王子・大月方面 ,平日,nambu_122.csv,2021-12-19,4,https://www.jreast-timetable.jp/2112/timetable/tt0958/0958010p.html
立川,中央本線・中央線快速,八王子・大月方面 ,土・休日,nambu_123.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt0958/0958011p.html
立川,中央本線・中央線快速,新宿・東京方面 ,平日,nambu_124.csv,2021-12-19,8,https://www.jreast-timetable.jp/2112/timetable/tt0958/0958020p.html
立川,中央本線・中央線快速,新宿・東京方面 ,土・休日,nambu_125.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt0958/0958021p.html
立川,青梅線・五日市線,拝島・青梅・奥多摩・武蔵五日市方面 ,平日,nambu_126.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0958/0958030p.html
立川,青梅線・五日市線,拝島・青梅・奥多摩・武蔵五日市方面 ,土・休日,nambu_127.csv,2021-12-19,8,https://www.jreast-timetable.jp/2112/timetable/tt0958/0958031p.html
立川,南武線,登戸・川崎方面 ,平日,nambu_128.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0958/0958040p.html
立川,南武線,登戸・川崎方面 ,土・休日,nambu_129.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0958/0958041p.html
浜川崎,鶴見線,扇町方面 ,平日,nambu_130.csv,2021-12-19,28,https://www.jreast-timetable.jp/2112/timetable/tt1246/1246010p.html
浜川崎,鶴見線,扇町方面 ,土・休日,nambu_131.csv,2021-12-19,28,https://www.jreast-timetable.jp/2112/timetable/tt1246/1246011p.html
浜川崎,鶴見線,鶴見方面 ,平日,nambu_132.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1246/1246020p.html
浜川崎,鶴見線,鶴見方面 ,土・休日,nambu_133.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1246/1246021p.html
浜川崎,南武線,尻手方面 ,平日,nambu_134.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1246/1246030p.html
浜川崎,南武線,尻手方面 ,土・休日,nambu_135.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1246/1246031p.html
小田栄,南武線,尻手方面 ,平日,nambu_136.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1736/1736020p.html
小田栄,南武線,尻手方面 ,土・休日,nambu_137.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1736/1736021p.html
小田栄,南武線,浜川崎方面 ,平日,nambu_138.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1736/1736010p.html
小田栄,南武線,浜川崎方面 ,土・休日,nambu_139.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1736/1736011p.html
川崎新町,南武線,尻手方面 ,平日,nambu_140.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt0528/0528010p.html
川崎新町,南武線,尻手方面 ,土・休日,nambu_141.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt0528/0528011p.html
川崎新町,南武線,浜川崎方面 ,平日,nambu_142.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt0528/0528020p.html
